Council,Year,Sum
Alpine,2016,184
Alpine,2017,149
Alpine,2018,195
Alpine,2019,214
Alpine,2020,246
Alpine,2021,234
Alpine,2022,228
Alpine,2023,169
Alpine,2024,189
Ararat,2016,460
Ararat,2017,519
Ararat,2018,460
Ararat,2019,498
Ararat,2020,433
Ararat,2021,633
Ararat,2022,591
Ararat,2023,496
Ararat,2024,509
Ballarat,2016,3392
Ballarat,2017,3246
Ballarat,2018,3115
Ballarat,2019,3180
Ballarat,2020,3137
Ballarat,2021,3341
Ballarat,2022,2834
Ballarat,2023,3295
Ballarat,2024,3732
Banyule,2016,2866
Banyule,2017,2641
Banyule,2018,2775
Banyule,2019,2900
Banyule,2020,2948
Banyule,2021,3180
Banyule,2022,2361
Banyule,2023,2685
Banyule,2024,2877
Bass Coast,2016,1099
Bass Coast,2017,970
Bass Coast,2018,992
Bass Coast,2019,822
Bass Coast,2020,797
Bass Coast,2021,1162
Bass Coast,2022,1058
Bass Coast,2023,1127
Bass Coast,2024,1127
Baw Baw,2016,1386
Baw Baw,2017,1437
Baw Baw,2018,1380
Baw Baw,2019,1477
Baw Baw,2020,1574
Baw Baw,2021,2009
Baw Baw,2022,1627
Baw Baw,2023,1539
Baw Baw,2024,1887
Bayside,2016,1197
Bayside,2017,1313
Bayside,2018,1330
Bayside,2019,1203
Bayside,2020,1092
Bayside,2021,1585
Bayside,2022,1126
Bayside,2023,1373
Bayside,2024,1609
Benalla,2016,436
Benalla,2017,533
Benalla,2018,509
Benalla,2019,475
Benalla,2020,510
Benalla,2021,468
Benalla,2022,550
Benalla,2023,536
Benalla,2024,574
Boroondara,2016,1605
Boroondara,2017,1969
Boroondara,2018,1678
Boroondara,2019,1567
Boroondara,2020,1634
Boroondara,2021,2108
Boroondara,2022,1664
Boroondara,2023,1747
Boroondara,2024,2180
Brimbank,2016,5398
Brimbank,2017,5358
Brimbank,2018,5386
Brimbank,2019,5729
Brimbank,2020,5759
Brimbank,2021,7299
Brimbank,2022,4765
Brimbank,2023,5144
Brimbank,2024,5422
Buloke,2016,80
Buloke,2017,61
Buloke,2018,70
Buloke,2019,79
Buloke,2020,84
Buloke,2021,143
Buloke,2022,118
Buloke,2023,164
Buloke,2024,143
Campaspe,2016,1142
Campaspe,2017,1149
Campaspe,2018,1189
Campaspe,2019,1136
Campaspe,2020,1268
Campaspe,2021,1299
Campaspe,2022,1130
Campaspe,2023,1186
Campaspe,2024,1443
Cardinia,2016,2200
Cardinia,2017,2156
Cardinia,2018,1784
Cardinia,2019,1894
Cardinia,2020,2244
Cardinia,2021,2956
Cardinia,2022,2053
Cardinia,2023,2207
Cardinia,2024,2385
Casey,2016,6194
