Year,No. of Sales,Median Price,Mean Price,No. of Sales,Median Price,Mean Price,No. of Sales,Median Price,Mean Price
2003,61370,291500,361584,30614,271500,318433,22177,117000,126084
2004,53796,308869,381614,26087,275000,323111,12999,135000,144974
2005,56847,320000,399974,29089,285000,332408,13331,137000,146842
2006,55172,345000,439673,30837,305000,364847,14768,139000,153139
2007,66461,372000,503370,42247,340000,408437,20424,143900,155663
2008,52125,385000,510272,32068,355000,407357,16166,152000,161795
2009,60061,418100,540086,40965,385000,436008,22634,166000,174726
2010,55462,495500,636509,39924,448250,507647,19560,190000,206051
2011,48934,493000,633431,34100,445000,504111,12331,210766,227228
2012,47571,485000,618309,33779,436500,492145,10219,210000,226861
2013,55224,520000,668721,42373,460000,518345,13507,207900,227227
2014,60828,556000,726528,50742,482500,541508,16205,210000,232679
2015,66596,600000,811698,53898,510000,581885,20572,219600,240597
2016,61897,641000,861369,47181,520000,608539,26138,229000,245124
2017,63281,720000,953215,48411,555000,649183,28426,270000,287287
2018,51752,740000,977316,36173,570000,658119,16768,313900,332714
2019,51567,720000,941932,33093,580000,678024,12508,310950,335752
2020,46879,750000,989117,29691,600000,687019,22993,309000,327084
2021,71661,870000,1154368,45435,633000,741261,34154,329000,353798
2022,56621,890000,1183360,37261,622500,731134,10954,374000,414584
2023,53268,860000,1141991,37779,615000,718426,5779,380000,437952
2024,4810,750000,910378,4138,575000,625385,474,369000,438103
